user_id,sex,plan,age,age_bin,ethnicity,department,nationality,country_of_work
59,,Dependentaccount,15.0,11-20,cHINESE,Product,Singapor—,Singapore
60,Female,Dependent account,45.0,41-50,Chinese,Business,Singapore, Singapore
61,Female,Dependent account,6.0,0-10,Indian,Product,,HONG KONG
62,Female,Main account,44.0,41-50,Chinese, Product,Singapoñe,SINGAPORE
63,Male,Main account,58.0,,Chinese,Product,Singapore ,Singapore
64,Female,Dependent accounnt,9.0,0-10,Others,Product,CHINA,Chiüa
65,Mal—,Main acconut,28.0,2c-30,Chinee,Product,Malaysia,Singapore
66,ale,main account,25.0,21-30,Malay,HR,Singapore,Singapore
67,fEMALE,Dependent account,54.0,51-6®,Chinese,"Pro""uct",Singapore,Singapore
68,Female,Dependent account,70.0,,Chinese,,Singapore,
69,Male,Dependent account,73.0,660+,Chinese,Product,Singapore,Singapore
70,Fema–e,Main account,20.0,11-2,Chinese ,Product,Singaporé,Singapore
71,Female,Dependent account,39.0,31-40,Indian,Business,,
72,Female,Dependent account,43.0,41-50,,Business,Singapore,Singapore
73,Female,Dependent account,,11-20,Chinese,Business,Singapore,Singapore
74,Mlae,Dependent account,34.0,31-40,Chinese,product,Malaysia, Sinngapore
75,Male,Main Account,36.0,31-40,Chinese, Business,,Singapore
76,Female,Dependent account,45.0,41-50, Malay,pRODUCT,Singapore,singapore
77,Male,"Depen""ent account",69.0,,,Product,Singapore,Singapore
78,Female,Dependent account,71.0,,Indian,Produc™,China,SIéGAPORE
79, Male,Dependentaccount,33.0,31-40 ,Malay,Busi®ess,Singapore,Singapore
80,Female,Main account,26.0,21-30,,HR,Singapore,Singapore
81,Female,Dependent account,24.0,21-30,Chinese,Business,Singap—re,Singapore
82,Female,Dependent account,61.0,60+,Chinese,HR,"Chin""",Singapore
83,Female,Dependent accout,5.0,0-10,,Product,Singapore,Singapore
84,MALE,Main account,38.0,31-40,Chinese,HR,,Singa'ore
85,Female,Main account,,51-60,Chinese,Business,Singapore,Singapore
86,Male,Dependent account,,51-60,Chinese,Business,Singapore,Singapore
87,Male,,21.0,21-30,,Product,Singapore,cHINA
88,Female,Dependent account,41.0,41-50,Chinese,BUINESS,Singapore,
89,Male,Dependent account,15.0,11-20,Indian,Business,Singapore,Sin'apore
90,Male,Dependent account,2.0,0-01,,HR,Singapoer,Singapor' 
91,,Dependent Account,12.0,11-20,Chinese,HR,Singapore,sINGAPORE
92,Male,Dependent account,19.0,11-20,Chinese,Product,Singapore,Singaporq
93,MMale,Dependent Account,31.0,"31-4""",,Product,"Indi""","Si""gapore"
94,Male,Dependent account,69.0,60+,Indian,Product, Singapore,Singapore
95,Female,Dependent account,47.0,41-50,Indian,,Singapore,Singapore
96,Male,Dependent account,30.0,21-30,C…INESE,HR,Singapore,
97,,Main account,62.0,60+,,HR,China,Singapore
98,Femñle,MAIN ACCOUNT,51.0,51-60,Chinese,—R,Singapore,Singapore
99,Feéale,Dependent account,47.0,41-50,Chinese,Business,Singapore,Sinagpore
100,Male,Dependent account,47.0,41-50,Chinese,Product, Malaysia,Singapore
101,Female,,40.0,31-40,Indian,,Singap–re,CHINA
102,FEMAALE,Main account,57.0,51-60, Chinese,Business,Sinagpore,Singapore 
103,Female,Dependent account,43.0,41-50,Chinese,Business,Singapore,Singapore
104,Male,Dependent account,66.0,60+,Chinese,Product,China,China
105,Male,Dependent Account,,,Malay,Product,,Ch–na
106,Female,Main account,37.0,31-40,Chinese,Product,Singapore,Singapore
107,,DEPENDENT ACCOUNT,66.0,60+,Chineñe,Business,Singapore,Singapore
108,Female,Dependent account,14.0,11-20,Chinese,, Singapore,Singapore
109,Male,dEPENDENT ACCOUNT,,31-40,,Business,,China
110,Male,Depeñdent account,69.0,60+, C–inese,Business,Singapor…,Hong Kong
111,Male,Main account,,31-40,C®inese,…usiness,Singapore,Singapore
112,Male,main account,,21-30,CHINESE,Business,Malaysia,Singapore
113,Female,Dependent account,3.0,0-ü0,Chinese,H™,Singapore,Singapore
114,male,Dependent account,46.0,41-5™,Chinese,Business,Singapore,Singapore
115,Male,Main account,52.0,51-60,Chinese,®R,Singapore,Singapore
116,Male,Main account ,37.0,31-40,Chinese,Product,Snigapore,Singapore
117,Female,Dependent account,41.0,41-50,,HR,Singapore,Singapore
118,,Dependent account,32.0,3ü-40,,Product,singapore,Singapore
119,Male,Main account,52.0,51-60,Chinese,,,Singapore
120,Male,Dependent nccount,1.0,0—10,Chinese,Product,Singapore,Singapore
121,Male,MAIN ACCOUNT,28.0,,,Business,Singapore,Singapore
122,Fema—e,Main account,37.0,31-40,Chinese,Product,,Singapore
123,MALE,mAIN ACCOUNT,60.0,51-60,–alay,Product,Singapore,Singapore
124,Female,Dependent account,14.0,11-200,Chinese,PRODUCT,Singapore,Singapoe
125,Female,Main account,22.0,21-30,CHINESE,Product,Singapore,Singapore
126,Female,,36.0,31-40,Malay,Product,Singapore,Singapore
127,Female,,65.0,60+,Chinese,Business,sINGAéORE,Singapore
128,…ale,Main account,39.0,31-40,Chinese,Business,Singapore,Singapore
129,,Dependentaccount,51.0,51-60,Chinese,bUSINESS,sINGAPO®E,
130,Female,Main account,43.0,41-50,Malay,Business,Singapore,
131,Female,Main account,62.0,,Chinese,Business,Singapore,Singapore
132,Female,Dependent ccount ,49.0,41-50,Chinese,product,China,Singapore
133,Male,,,31-40,Chinese ,Product,Singapore,Siégapore
134,mALE,,19.0,11-20,Chinese,Business,,Singapore
135,Male,dEPENDENT ACCOUNT,28.0,21-3…,Chinese,,Malaysia, Singapore
136, Female,Dependent account,16.0,11-20,Malay,HR,Singapore,Singapore
137,Male,Main account,56.0,51-60,Chinese,,Singapore,Singapore
138,Female,Main account,29.0,21-30,,Busi™ess,Sniga–ore,Singapore
139,Male,Main account,59.0,,Chinese,HR,,Singapore
140,éale,Dependent account,18.0,11-20,chinese,Business,Singapore,China
141,Male,Main account,34.0,31-40,Chinese,Product,Malaysia,Singapore
142,Female,Dependent account,18.0,1120,™hinese,Businses,Singapore,Singapore
143,Female,Main account,26.0,21-30,Chinese,HR,Singapore,Singapore
144,Male,Dep'ndent account,67.0,60+,Ch…nese,Product,Singapore,Singapore
145,Male,Dependent account ,69.0,60+,,business,China,Singapore
146, Female,Dependent account,35.0,,Chinese,Pro'uct,Singapore,Singapore
147,Female,Dependent account,43.0,41-50,Chinese,,India,Singapore
148,mALE,Main account,47.0,41-50,Malay,Product,India,sINGAPORE
149,Male,Main account,40.0,31-40,Others,Business,Singapore,Singapore
150,Female,Main account ,,–1-30,Chinese,,Singapore,Singapore
151,Female,Main account,49.0,41-50,Chinese,Bu…iness ,Singapore,Singapore
152,Female,Main a…count,,21-30,Chinese,ñR,S™ngapore,Singapore
153,,Dependent account,,,Chinese,Business,China,Singapore
154,MéLE,,49.0,41-50,chinese,"Bus""ness",China,Hong Kong
155,Male,Dependent account,,31-40,Chinsee,Product,sINGAPORE,Singapoée
156,Female,Dependent account,49.0,—1-50,Chinese,Product,Singapore,Singapore
157,Female,Dependent account,40.0,31-40, Indian,Business,Singapore,Singapore
158,Female,Main account,,,Ch…nese,Product,Singapore,sINGAPORE
159,,Dependent account,6.0,,Chinese,HR,Singapore,Singapore
160,Male,Mainaccount,20.0,11-20,,Business,Singapore,Singapore
161,Female,Dependent Account,65.0, 60+,Indian,Busi®ess,china,Singapore
162,Female,Dependent account,58.0,51-60,Indian,Business,si®gapore,Singapore
163,Female,Dependent account,52.0,51-60 ,Chinese,Product,SINGAPORE,Singapore
164,Maxe,Main account,34.0,3ñ-40,Chinese,Business,Singapore,Singñpore
165,eFmale,Main account,50.0,41-50,Chinese,Product,"Sin""apore",Singaporee
166,Male,Dependent account,49.0,41-50,Indian,Business,Singapore,Singapore
167,,Dependent account,27.0,21-30,Chineüe,Product,CHINA,S–ngapore
168,Male,Dependent account,47.0,41-50,Indian,Business,China,China
169,Female ,Main account,42.0,41-50,Chinese,Business,Singapore,
170,Male,Main account,42.0,41-50 ,Chinnese,Busine—s,China,
171,Male,Dependent account,31.0,31-40,Chinese,HR,Singapore,S…ngapore
172,Male,Dependent Account,63.0,60+,Chine–e,PRODUCT,Ibdia,Singapore
173,Male,Main account,,41-50,Chinese,, Singapore,Singapore
174,Male,Dependent account,46.0,41-5–,,hr,,Singapore
175,Female,Dependent account,52.0,51-60,Chines…,Product,Singapore,Singapore
176,Female,Dependent account,18.0,11-20,,Product,iSngapore,Singapñre
177,Male,Dependent account,56.0,51-60,Chinese,Busness,,Singapore
178,Female,"Dependent ac""ount",36.0,31-40,Chinese,Product,Singapore,Singapore
179,Male,Dependent account,18.0,"11-""0",Others,Product ,Malaysia,S…ngapore
180,Female,Dependentmaccount,39.0,31-40,Chinese,"""usiness",Singapore,Hong Kong
181,Male,Dependent account,53.0,51-60,Chinese,Product,SINGAPORE,Singapore
182,éemale,mAIN ACCOUNT,44.0,41-50,Chinese,Product,Singapore,Singapore
183,Male,Depende…t account,21.0,21-30,,Business,Singapore,singapore
184, Male,Main account,29.0, 21-30,Chinese,Product,Singapore,Singpore
185,Male,Dependent account,41.0,41-50,Chinese,Product,Singapére,Singapore
186,M™le, Dependent account,40.0,,cHINESE,,Singapore,China
187,Male,Dependent account,71.0,,Malay,Business,Singapore,Hong Kong
188,Female,"Dependent acco""nt",,41-50,Chinese,,Singapore,Singapore
189,,Dependent account,75.0,60+,Chinese,Product,Singapore,Singapore
190,Male,Main account,26.0,21-30,Indian, Business,Singapore,Sxngapore
191,Male,eDpendent account,70.0,60+,,Product,,Singapore
192, Male,Dependent account,63.0,60+,In'ian,HR,China,Sin™apore
193,Female,Mainaccount,32.0, 31ü40,Chine®e,Business,Singapore,Singapore
194,Female,Main account,41.0,41-50,,Business,Singapore,Singapore
195,Female,Dependentaccount,,11-20,Chniese,Business,,Singapore
196,Male,Dependent account,36.0,,Chinese,HR,,Singapore
197,Male,Main account,40.0,…1-40,Chinese,Business,Singapore,Singapore
198,Female,Dependent account,54.0,,Chinese,Product,Singapore,Singapo…e
199,Female,Dependent account,52.0,51-60,Chinese,Hñ,Singapore, Singapore
200,Female,…ependent account,69.0,60+,Chinese, HR,,Singapore
201,,Main…account,46.0,41-50,Malay,,Singapore,Singapore
202,Female,Dependent ac…ount,2.0,,Chinese ,HR,Singapore,Singaporü
203,Male,Main account,,,,"Pro""uct",Singapore,Singapore
204,"""ale",Dependent account,24.0,21-30,Chinese,Product,,Singapore
205,Male,Dependent account,44.0,41-50,Chinese,Business,Singapore,Singapore
206,Female,Dependent account,2.0,0-10,Chinese,Product,India ,Singapore
207,Male ,Main account,43.0,41-50,Malay,,Singaporre, Singapore
208,,Dependent account,38.0,,Malay,business,Singapore,Singapore
209,Male,Main account,45.0,,Chinese,hr,Singapore,Singapore
210,"Fe""ale",Dependent account ,17.0,11-20,,HR,Singapore,
211,Male,Dependent account,23.0,21-30 ,Chinese,Business,India,Singapore
212,Female,Dependent account,27.0,21-30,Malay,Product,,Singapore
213,Male,dependent account,21.0,21-30,,Business,China,Singapore
214,Male,Dependen taccount ,81.0,60+,cHINESE,HR,Singapore,Singapore
215,Female,Dependent accoun–,30.0,21-30 ,Chinese,,Sdngaporü,Singapore 
216,Female,Dependent account,34.0,31-40,Malay,®R,Singapore,Singapore
217,"""emale",Main account,20.0,11-20,Chinese,HR,Sing–pore,Singapore
218,Female,Dependent account,49.0,41-50,Chinese,hr,Singapore,
219,Female,Dependent account,6.0,0-10,Chinese,Busines…,Singapore,Singapore
220,ñemale,Dependent account,50.0,41-50,Others,Business,Singapore,Singapore
221,Female,Depednent account,6.0,0-10,Chinese,Business,Singapore,Singapore
222,Female,Dependent account,71.0,60+,Indian,Product,Singapore,Singapore
223,Male,Dependent account,24.0,21-30,Chinese,Business,India,™ong Kong
224,Male,Dependent account,36.0,31-400,Malaé,Product,Singgüpore,Singapore
225,,Dependent account,11.0,11-20,Chinese,HR,Singapore,singapore
226,Female,Depenedntñaccount,31.0,,Chinese,,Singapore,Singapore
227,Male,Dependent account,24.0,21--30,Chinese,HR,Singapore,Singapore
228,Male,Dependent account,56.0,51-60,Chinese,"Busines""",Singapore,
229,Mule,,1.0,0-10,Others,Product,SINGAPORE,Singapore
230,Female,Dependent account,23.0,2ñ-30,Chinese,Product,Singapore,
231,Female,Main account,,,Chinese,HR,"Singa""ore",Singapore
232,,Main accunt,30.0,21-30,Malay,HR,Singapére,
233,Female,Dependent account,18.0,11-20,Chinese,Product,,Singapore
234,Female,Mainaccount,19.0,11-20,Chinese,HR,Singapore,S…ngapoer
235,Male,Dependent account,36.0,31-40,Chinese,HR,China,Singapore
236,'ale,dependent aaccount,39.0,ü1-40,ñndian,Business,,China
237,Male,Dependent acccount,9.0,0-10,Others,HR,Malaysia,Singapore
238,Male,Main account,49.0,41-50,Chinese,usiness,,SINGAPORE
239,Female,Main account,40.0,31-40,Chinese,Businesü,Singap®re,Singapore
240,Femalé,Dependent account,55.0,51-60,Malañ,üroduct,singapore,Singapore
241,Female,Main account ,36.0,31-40,Chinese,bUSINESS,China,"Sing""pore"
242,,dEPENDENT ACCOUNT,34.0,31-40,chinese,,singapore,Singapore
243,Female,Dependent account,63.0,60+,Chinese,HR,India,Singapore 
244,Female,,21.0,21-30,Chinese,pRODéCT, Singapore,SINGAPORE
245,Female,DEPENDENT ACCOUNT,32.0,"31""40",chinese,Bus–ness,Singapore,Singapore
246, Male,Main account,46.0,41-50,Chinese,, Singapore,Singapore
247,Femala,Dependent account,58.0,51-60,Chiüese,, Singapore,Singapore
248,aMle,Dependent account,78.0,60+,Chinese,Business,Malaysia,Singapore
249,Female,Main account,41.0,41-50,Chinese,Product,Singapore,Singapore
250,Male,Main account,56.0,51-60,Malay,,Malaysia,Singapore
251,Feemale,Main account,36.0,31-40,Malay,Business,India,Hong Kong
252,,Dependent acocunt,,31-40,,HR,Si…gapore,sINGAPORE
253,Female,Main account,44.0,41-50,Chinese,Business,Singapore,Singapore
254,Male,De—endent account,31.0,31-40,Chinese,Busiñess,Singapore, Singapore
255,Female,Main account,59.0, 51-60,"Chin""se",Product,"Singapor""",Singapore 
256,Male,Dehendent account,23.0, 21-30,Chinese,Product,India,Singapor–
257,Mae,Dependent account,,0-10,Chinese,Product,,Singapore
258,Female,Dependent account,,11-20,aMlay,HR,,Singa™ore
259,Female,,38.0,"3""-40",Chinese,Product,Singapore,sINGAPORE
260,Male,Main account,20.0,11-20,Malay,HR,Singapore,Singapore
261,Male,Main account,32.0,31-40,Chinese,HR,,
262,Male,Main account,51.0,51-60,Malay,Product,Singaopre,Singapore
263,M…le,Dependent account,20.0,11-20 ,Indian,Business,Singépore,SINGAPORE
264,Female,Dependent account,27.0,21-30,Chinese,Business,Singapore,Singapore
265,Female,Dependent account,11.0,1—-20,Malay,Product ,Singapore,China
266,Femlaé,Dependent account,,31-40,Chnese,HR,Singapore,Singapore
267,female,,,60+,Chinese,Business,Chin—,
268,Female,Dependent account,36.0,31-40,Chinese,,Malayssia,SINGAPORE
269,Female,Dependent account,31.0,31-40,Chinese,Product,,Singapore
270,fEMALE,,9.0,0-0,Indian,HR,Singapore,Singapore
271,Female,Dependent account,34.0,31-40,Ch–ese,Business,Singapore,Singapore
272,Male,Dependent account,51.0,51-6t,,Product,Singapore,Singapore
273,Female,Dep®ndent account,,41-50,Indian,Business ,Singapore,sINGAPORE
274,Male,Dependent account,51.0,,Others,Bus—ness,Singapore,Singapore
275,Female,Main account,,41-50,Chinese,éroduct,India,Singapore
276,Female,Dependent account,16.0, 11-20,Indian,Product,India,Singapore
277,Male,Dependent account,22.0,21-30,,Product,Singapore,Singapore
278,Male,Dependent account,20.0,11-20,Indian,HR,Singapore,Singapore 
279,Male,Dependent account,40.0,31-40,Chinese,Product,Singapo™e,Hong Kong
280,"Mal""",Dependent account,68.0,®0+,Chinese,Product,Singapore,Singapore
281,Fema—e,Main account,,31-40,Chinese,Product,China,Singapore
282,Female,Mawn account,23.0,21-30,Malay,HR,Singapore,China
283,,Dependent account,46.0,41-50,Chinese,Busine…s,Singapore,Singapore
284,fEMALE,Main account ,56.0,é51-60,Chinese,Business,Singapore,Sbngapore
285,"Ma""e",Depeédent account,1.0,0-10,Chinese,Business,Singapore,
286,Male,Depende™t account,11.0,11-20,Indian,Business,Singapore,Singapore
287,Female,Main account,61.0,60+,Chinese,Product,Singapore,Singapore
288,Male,Main account,29.0,21-30,Chinese,Product,,Singapore
289,Male,Dependent account,57.0,51-60,Chinese,Business,Singapore,Singapore
290,Male,Dependen taccount,24.0,21-30,Chpnese,Business,Singagore,
291,Female,"Dependent accoun""",10.0,0-10,Chinese ,Pro—uc,Singapore ,China
292,Fmale,Dependent account,55.0,51…60,,Product,Singapore,Singapore
293,Female,Dependent accou—t,24.0,21-30,Malay,product,Singapore,Sin…apore
294,Female,Dependent account,26.0,,Chinese,Business,Singapore,
295,Female,Dependent account,26.0,21-30,Chinese,Business,India,Singapore
296,Male,Dependent account,27.0,21-30,Inñfan,Product,Singayore,Singapore
297,Female,DEPENDENT ACCOUNT,59.0,51-60,Chineñe,Prodcut,Singapore,Singapre
298,Female,Dependent account,52.0,51-60,Chinese,Prduct,Singapore,
299,Male,,56.0,51-60,Chinese,Product,Singapore,Singapore
300,Mal®,Dependent account,36.0,31-40,Chinese,Product,singapore,Singapore
301,Male,Dependent account,18.0,11-20,Malay,Product,Singapore,sINGAPO'E
302,Female,Dependent account,35.0,31-40,"Chin""se",,Singapore,Hong Kong
303,Female,MAI— ACCOUNT,53.0,51-60,Chinese,Product,Singapore,Singapore
304, F…male,Dependent account,49.0,41-50,Chinese,Business,Singapore,Singapore 
305,Female,Dependent account,26.0,21-30,Chinese,Business,Singapore,
306,Male,Dependent account,16.0,11-20,,Product,sINGAPORE,Singapore
307,fEMALE,Dependent account,68.0,60+,Chinese,,Singapore,Singapore
308,Male,,32.0,31-40,Chinese,Business,,Singapore
309,Female,Dependent account,40.0,31-40,Chinese,Product,Malaysia,
310,Male,Dependent account,48.0,41-50,Indian,Product, Singapore,Singapore
311,Female,Dependent account,,41-50,India…,Product,Singapore,Singapore
312,Female,,50.0,41-50,Chinese,PProduct,Singapore,
313,Fem–le,Main account,35.0,31-40,Ind—an ,,,Singapore
314,Male,Dependent Account,35.0,,Chine®e,HR,Singapore,Singapore
315,Female, Dependent account,54.0,51-60,Chines®,H—,Singapore,Singapore
316, Male,MAIN ACCOUNT,23.0,21-30,Chinese,Business,Malaysia,Singapore
317,Female,Dependent account,51.0,51-60,Indian,Business,Singapore,Singapore 
318,,Dependent account,48.0,41-50,Malay,,Singapore,Singapore
319,Female,—ependent account,35.0,31-40,Chinese,Business, Singapore,Singapore
320,,Dependent account ,73.0,,Chinese,Pr…duct,Singapore,Singapore
321,,EdPENDENT ACCOUNT,84.0,60+,Chinese,Product,Singapore,Singapore
322,Male ,Main account,52.0,51-60 ,Chinese ,Business,Singapore,
323,Male,Main account,24.0,21-30,Chinese,Product,Singapore,
324,Male,Main account,25.0,,Malay,Business,Singapore, China
325,Male,Dependent account,10.0,0-10,,Hr,Singapore,Singapore
326,Male,Dependent account,36.0,…14-0,Chinese,Product,Singapore,Singapore
327,Male,Main account,33.0,,Chinese,Business,Singapore,
328,Male,Main account,54.0,5160, Chidese,pRODUCT,Singapore,sINGAPORE
329,Male,Dependent account,51.0,,Chinese,HR,Singapore,China
330,Male ,Dependent account,79.0,60+,Chinese,Product,India,Singapore
331,Female ,Main account,48.0,41-50,Malay,Business,Singapore,Singapore
332,Male,Dependent account,9.0,,Chinese,Product,India,Singapore
333,Female,Main account,19.0,11-20,Indian,Product,Singapore,Singapore
334,,,2.0,0-'0,Chinese,Buisness,Singapore,Singapore
335,Female,Main account,19.0,1™-20,Chinese,Product,Singapore,
336,Male,Dependent account,33.0,31-40, Chinese,Product,Singapore ,Singapore
337,Male,main account,34.0,31-40,Others,Business,Singapore,
338,Female,Dependent account ,68.0,—0+,Malay,Product,Singapore,Singapore
339,female,Main account,33.0, 31…40,Chinese,Product,®ingapore,Singapore
340,,Dependent account,34.0,31-40,Chi'ese,Product,Si—gapore,
341,Female,ñependent account,38.0,31-40,Chinese,b…siness,singapore,
342,mALE,,71.0,60+,Chinese,Product,Singapore,Singapore
343,Maée,Main account,59.0,51-60,Chinese,HR,Singapore,China
344,Male,Main account,46.0,41-50,CChinese,Pr—duct,SINGAPOR…,singapore
345,,Dependent account,68.0,60+,Chinese,Product,Singapore,Singapore
346,Male,Main account,24.0,21-30,Indian,Business,Singapore,
347,Male,Dependent account,77.0,60+,Malay,Product,eingapore,Singapore
348,Female,Dependent account,26.0,21-30,Chinese,Business,Singapore,Singapore
349,Male,Deppendent account,72.0,60+,Chinese,Product,Singapore,Singapore
350,Fema'e,,65.0,60+,cHINESE,,Singapore,Singapore
351,ale,Dependent account,14.0,11-20,mALAY,HR,Chiüa,Singapore
352,Male,Dependent account,7.0,0-ñ0,Malay,Business,,Singapore
353,Maée,main accoñnt,31.0,31-40,Chinese,,Malaysia,–ingapore
354,Female,dEPENñENT ACCOUNT,57.0,51-60,Chinese,Product ,Singapore,Singapore
355,Female,Dependent account,46.0,—1-50,Chinese,Product,Singapore,Singapore
356,Female,Dependent account,43.0,41-50,Chinese,,Singapore,Singapore
357,Male,Dependent account,,21-30,Chinese,Business,Singapore,Singapore
358,male,Dependent account,64.0,,Chinese,hr,Singapore,
359, Male,Dependent account,27.0,21-30,Malay,HR,Singapore, Singapore
360,Femal',,7.0,,MALA®,business,Singapore,china
361,Female,dEPENDENT ACCOUNT,3.0,0-10,Chinese,Product,Signapore,Singapore
362,fEMALE,Dependent…account,73.0,60+,Indi®n,Product,,S™ngapore
363,Male,Dependent account,43.0,41-50,Chinese,,Singapore,Singapore
364,Male,Dependent account,66.0,60+,Indian,HR,Singapore,Singapore
365,Female ,Dependent account,67.0,60+,Chinese,Produc…,Singapore,
366,Fema…e,Dependent account,18.0,11-20,Chinese,Product,Singapore,Singapore
367,Male,Dependent account,83.0,—0+,Chinese,Business , Singapore,Singapore
368,Male,DEPENDENT ACCOUNT,63.0,60+,,HR,"Sing""pore",China
369,Male,DEPENDENT ACCOñNT,59.0,51-60,Indian,, Singapore,Singapo…e
370,fEMALE,Dependent ccount,54.0,51-60,indian, HR,,China
371,Male,Dependent account,,41-50,Chinese,Product,Singapore,Singapore
372,Femal™,Dependent account,40.0,31-40,'alay,Product,,Singapore
373,Female,dEPENDENT ACCOUNT,,0-10,Malay,,Singapore,Singapore
374,Male,Main account,36.0,31-40,Chinese,Product,Singapoie,Singapore
375,Male, Dependent accñunt,67.0,60+,Chinese,BUSINESS,Singapore,Singgpore
376,Female,Dependent account,65.0,60+,Chinese,Product,Singapore,Singapore
377,Female,Dependent account,64.0, 60+,Chinese,HR,S'ngapore,
378,Male,Dependent account,57.0,51-60,Malay,Product,India,Singapore
379,Male,Dependent account,59.0,51-60,,Product,Singapore,Singap®re
380,MALE,,12.0,11-20,Chinese,Product,Singapore,Singapore
381,Female,Dependent account,52.0,51-é0,Chinese,Business,Singapore,china
382,Male,Main account,26.0,21-30,Chinese,Product,Singapore,Singapore
383,Female,Dependent account,16.0,11-20,hCinese,HR,"Singap""re",China
384,Male,MAIN ACCOUNT,45.0,41-50,Chinese,Product,Singapore,Singapore
385,Male,Dependent account,66.0,60+,Chinese,bUSINESS,"""ingapore ",Singapore
386,Male,Dependent account,52.0,51-60,Malay,Product,Singapore,Singapore
387,Female,Dependent account,20.0,11-20 ,Others,Business ,Singapore,Sinüapore
388,,Dependent account,38.0,31-40,iNDI™N,PRODUñT,Sigapore,Singapore
389,Female,Dependent account,42.0,41-50,Chinese,HR,,Si—gapore
